dataset,model_key,battery,noise_type,noise_rate,loss,loss_value,acc_clean_labels,acc_noisy_labels,q
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,MAE,0.846881509,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,GCE(q=0.7),1.048551679,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,TruncGCE,1.048551679,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,SCE,7.992775917,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,SDIV,2.617184401,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,ForwardT,1.942552924,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,ForwardThat,1.906485438,0.199166667,0.175,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,CCE,1.940011144,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,MAE,0.84871316,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,GCE(q=0.7),1.051801801,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,TruncGCE,1.051801801,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,SCE,8.010937691,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,SDIV,2.628692627,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,ForwardT,1.967174172,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.4,ForwardThat,1.911392927,0.199166667,0.166666667,
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.0),1.884301543,,,0
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.2),1.563568354,,,0.2
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.4),1.314681888,,,0.4
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.6),1.119485736,,,0.6
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=0.8),0.964754462,,,0.8
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0,GCE(q=1.0),0.840785444,,,1
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.0),1.910623193,,,0
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.2),1.581357598,,,0.2
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.4),1.326753139,,,0.4
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.6),1.127710462,,,0.6
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=0.8),0.970381498,,,0.8
DermaMNIST,MedSigLIP,D-q-sweep,Uniform,0.2,GCE(q=1.0),0.844651043,,,1
