dataset,model_key,loss,noise_type,noise_rate,loss_mean,acc_clean,acc_noisy
PathMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.3,1.094872475,0.23,0.169166667
PathMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.4,1.101838827,0.23,0.151666667
PathMNIST,MedSigLIP,GCE(q=0.7),Clean,0,1.066434979,0.23,0.23
PathMNIST,MedSigLIP,GCE(q=0.7),Uniform,0,1.066434979,0.23,0.23
PathMNIST,MedSigLIP,GCE(q=0.7),Uniform,0.2,1.083303928,0.23,0.200833333
PathMNIST,MedSigLIP,GCE(q=0.7),Uniform,0.4,1.095410585,0.23,0.175833333
PathMNIST,MedSigLIP,GCE(q=0.7),Uniform,0.6,1.108577371,0.23,0.171666667
PathMNIST,MedSigLIP,MAE,ClassDep,0.1,0.85491395,0.23,0.211666667
PathMNIST,MedSigLIP,MAE,ClassDep,0.2,0.859880984,0.23,0.19
PathMNIST,MedSigLIP,MAE,ClassDep,0.3,0.865008771,0.23,0.169166667
PathMNIST,MedSigLIP,MAE,ClassDep,0.4,0.869121909,0.23,0.151666667
PathMNIST,MedSigLIP,MAE,Clean,0,0.848845363,0.23,0.23
PathMNIST,MedSigLIP,MAE,Uniform,0,0.848845363,0.23,0.23
PathMNIST,MedSigLIP,MAE,Uniform,0.2,0.858125031,0.23,0.200833333
PathMNIST,MedSigLIP,MAE,Uniform,0.4,0.864791274,0.23,0.175833333
PathMNIST,MedSigLIP,MAE,Uniform,0.6,0.87188822,0.23,0.171666667
PathMNIST,MedSigLIP,SCE,ClassDep,0.1,8.095021248,0.23,0.211666667
PathMNIST,MedSigLIP,SCE,ClassDep,0.2,8.144763947,0.23,0.19
PathMNIST,MedSigLIP,SCE,ClassDep,0.3,8.195755005,0.23,0.169166667
PathMNIST,MedSigLIP,SCE,ClassDep,0.4,8.236315727,0.23,0.151666667
PathMNIST,MedSigLIP,SCE,Clean,0,8.034246445,0.23,0.23
PathMNIST,MedSigLIP,SCE,Uniform,0,8.034246445,0.23,0.23
PathMNIST,MedSigLIP,SCE,Uniform,0.2,8.128456116,0.23,0.200833333
PathMNIST,MedSigLIP,SCE,Uniform,0.4,8.196001053,0.23,0.175833333
PathMNIST,MedSigLIP,SCE,Uniform,0.6,8.268163681,0.23,0.171666667
PathMNIST,MedSigLIP,SDIV,ClassDep,0.1,2.693231583,0.23,0.211666667
PathMNIST,MedSigLIP,SDIV,ClassDep,0.2,2.724128246,0.23,0.19
PathMNIST,MedSigLIP,SDIV,ClassDep,0.3,2.755916119,0.23,0.169166667
PathMNIST,MedSigLIP,SDIV,ClassDep,0.4,2.780967712,0.23,0.151666667
PathMNIST,MedSigLIP,SDIV,Clean,0,2.655221224,0.23,0.23
PathMNIST,MedSigLIP,SDIV,Uniform,0,2.655221224,0.23,0.23
PathMNIST,MedSigLIP,SDIV,Uniform,0.2,2.714120865,0.23,0.200833333
PathMNIST,MedSigLIP,SDIV,Uniform,0.4,2.75642848,0.23,0.175833333
PathMNIST,MedSigLIP,SDIV,Uniform,0.6,2.802113056,0.23,0.171666667
PathMNIST,MedSigLIP,TruncGCE,ClassDep,0.1,1.077651381,0.23,0.211666667
PathMNIST,MedSigLIP,TruncGCE,ClassDep,0.2,1.086384296,0.23,0.19
PathMNIST,MedSigLIP,TruncGCE,ClassDep,0.3,1.09533143,0.23,0.169166667
PathMNIST,MedSigLIP,TruncGCE,ClassDep,0.4,1.102303505,0.23,0.151666667
PathMNIST,MedSigLIP,TruncGCE,Clean,0,1.066870093,0.23,0.23
PathMNIST,MedSigLIP,TruncGCE,Uniform,0,1.066870093,0.23,0.23
PathMNIST,MedSigLIP,TruncGCE,Uniform,0.2,1.083753228,0.23,0.200833333
PathMNIST,MedSigLIP,TruncGCE,Uniform,0.4,1.095870018,0.23,0.175833333
PathMNIST,MedSigLIP,TruncGCE,Uniform,0.6,1.109047771,0.23,0.171666667
